LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1707151605.352671,498277.000,12913,1,B%,1,100, 1
1707151610.349419,503119.000,13672,1,B%,1,100, 1
1707151615.339975,507955.000,14385,1,B%,1,100, 1
1707151620.322275,512783.000,15173,1,B%,1,100, 1
1707151625.309735,517616.000,15980,1,B%,1,100, 2
1707151630.295131,522447.000,16784,1,B%,1,100, 1
1707151635.277432,527275.000,17572,1,B%,1,100, 1
1707151640.270052,532113.000,18344,1,B%,1,100, 1
1707151645.267831,536956.000,19122,1,B%,1,100, 0
1707151650.263547,541797.000,19850,1,B%,1,100, 0
1707151655.263391,546642.000,20655,1,B%,1,100, 1
1707151660.245691,551470.000,21446,1,B%,1,100, 2
1707151665.229023,556299.000,22254,1,B%,1,100, 1
1707151670.221643,561137.000,23041,1,B%,1,100, 0
1707151675.203943,565965.000,23826,1,B%,1,100, 1
1707151680.199659,570806.000,24603,1,B%,1,100, 2
1707151685.196407,575648.000,25344,1,B%,1,100, 0
1707151690.192123,580489.000,26117,1,B%,1,100, 0
1707151695.186807,585329.000,26923,1,B%,1,100, 2
1707151700.171171,590159.000,27728,1,B%,1,100, 0
1707151705.160695,594994.000,28514,1,B%,1,100, 0
1707151710.145059,599824.000,29288,1,B%,1,100, 0
1707151715.129423,604654.000,30062,1,B%,1,100, 0
1707151720.130299,609500.000,30770,1,B%,1,100, 0
1707151725.126015,614341.000,31560,1,B%,1,100, 1
1707151730.121731,619182.000,32367,1,B%,1,100, 0
1707151735.111255,624017.000,33154,1,B%,1,100, 2
1707151740.096651,628848.000,33946,1,B%,1,100, 0
1707151745.085143,633682.000,34687,1,B%,1,100, 0
1707151750.070539,638513.000,35401,1,B%,1,100, 0
1707151755.063159,643351.000,36145,1,B%,1,100, 0
1707151760.063003,648196.000,36933,1,B%,1,100, 0
1707151765.060782,653039.000,37715,1,B%,1,100, 0
1707151770.054434,657878.000,38518,1,B%,1,100, 0
1707151775.040862,662710.000,39306,1,B%,1,100, 0
1707151780.030386,667545.000,40063,1,B%,1,100, 0
1707151785.014751,672375.000,40754,1,B%,1,100, 0
1707151790.001179,677207.000,41543,1,B%,1,100, 0
1707151795.002054,682053.000,42334,1,B%,1,100, 0
1707151799.995706,686892.000,43124,1,B%,1,100, 1
1707151804.991422,691733.000,43911,1,B%,1,100, 0
1707151809.983010,696570.000,44701,1,B%,1,100, 0
1707151814.969438,701402.000,45460,1,B%,1,100, 0
1707151819.954834,706233.000,46178,1,B%,1,100, 0
1707151824.942294,711066.000,46952,1,B%,1,100, 0
1707151829.939042,715908.000,47743,1,B%,1,100, 2
1707151834.941982,720756.000,48533,1,B%,1,100, 0
1707151839.933570,725593.000,49322,1,B%,1,100, 0
1707151844.918966,730424.000,50110,1,B%,1,100, 0
1707151849.907458,735258.000,50888,1,B%,1,100, 2
1707151854.896982,740093.000,51594,1,B%,1,100, 0
1707151859.881346,744923.000,52367,1,B%,1,100, 0
1707151864.883254,749770.000,53175,1,B%,1,100, 0
1707151869.877938,754610.000,53967,1,B%,1,100, 0
1707151874.869526,759447.000,54752,1,B%,1,100, 0
1707151879.859050,764282.000,55544,1,B%,1,100, 0
1707151884.842382,769111.000,56293,1,B%,1,100, 0
