LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,BV
1707823628.640928,32257.000,2391,1,BV,1,100,3.54
1707823633.621455,37086.000,3179,1,BV,1,100,3.57
1707823638.609201,41922.000,3967,1,BV,1,100,3.56
1707823643.597979,46759.000,4762,1,BV,1,100,3.55
1707823648.598102,51607.000,5429,1,BV,1,100,3.56
1707823653.594099,56451.000,6217,1,BV,1,100,3.56
1707823658.589065,61294.000,7023,1,BV,1,100,3.56
1707823663.584031,66137.000,7812,1,BV,1,100,3.55
1707823668.577965,70979.000,8617,1,BV,1,100,3.56
1707823673.568806,75818.000,9405,1,BV,1,100,3.55
1707823678.555520,80653.000,10179,1,BV,1,100,3.57
1707823683.541204,85487.000,10880,1,BV,1,100,3.55
1707823688.527919,90322.000,11679,1,BV,1,100,3.55
1707823693.512571,95155.000,12468,1,BV,1,100,3.55
1707823698.493097,99984.000,13275,1,BV,1,100,3.56
1707823703.476718,104816.000,14063,1,BV,1,100,3.55
1707823708.462402,109650.000,14853,1,BV,1,100,3.55
1707823713.446022,114482.000,15642,1,BV,1,100,3.54
1707823718.427580,119312.000,16306,1,BV,1,100,3.54
1707823723.413264,124146.000,17099,1,BV,1,100,3.55
1707823728.395853,128977.000,17885,1,BV,1,100,3.55
1707823733.377411,133807.000,18692,1,BV,1,100,3.58
1707823738.364126,138642.000,19494,1,BV,1,100,3.55
1707823743.354966,143481.000,20286,1,BV,1,100,3.54
1707823748.334462,148309.000,21057,1,BV,1,100,3.54
1707823753.327365,153150.000,21770,1,BV,1,100,3.55
1707823758.321299,157992.000,22497,1,BV,1,100,3.56
1707823763.304920,162824.000,23304,1,BV,1,100,3.55
1707823768.297823,167665.000,24106,1,BV,1,100,3.55
1707823773.293820,172509.000,24898,1,BV,1,100,3.55
1707823778.282598,177346.000,25698,1,BV,1,100,3.55
1707823783.281689,182193.000,26487,1,BV,1,100,3.55
1707823788.281812,187041.000,27237,1,BV,1,100,3.55
1707823793.271621,191879.000,27977,1,BV,1,100,3.55
1707823798.272775,196728.000,28766,1,BV,1,100,3.56
1707823803.268772,201572.000,29572,1,BV,1,100,3.55
1707823808.266833,206418.000,30377,1,BV,1,100,3.56
1707823813.262830,211262.000,31163,1,BV,1,100,3.55
1707823818.261921,216109.000,31951,1,BV,1,100,3.56
1707823823.261013,220956.000,32645,1,BV,1,100,3.58
1707823828.259073,225802.000,33431,1,BV,1,100,3.57
1707823833.255070,230646.000,34203,1,BV,1,100,3.56
1707823838.254161,235493.000,34994,1,BV,1,100,3.54
1707823843.252221,240339.000,35797,1,BV,1,100,3.55
1707823848.250281,245185.000,36586,1,BV,1,100,3.56
1707823853.250404,250033.000,37344,1,BV,1,100,3.56
1707823858.247433,254878.000,38042,1,BV,1,100,3.56
1707823863.242399,259721.000,38830,1,BV,1,100,3.55
1707823868.240459,264567.000,39629,1,BV,1,100,3.57
1707823873.233362,269408.000,40420,1,BV,1,100,3.55
1707823878.225234,274248.000,41206,1,BV,1,100,3.57
1707823883.220199,279091.000,41997,1,BV,1,100,3.57
1707823888.214134,283933.000,42757,1,BV,1,100,3.56
1707823893.203943,288771.000,43449,1,BV,1,100,3.57
1707823898.194783,293610.000,44255,1,BV,1,100,3.56
1707823903.187686,298451.000,45031,1,BV,1,100,3.55
1707823908.170276,303282.000,45807,1,BV,1,100,3.56
